model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Secondary electricity,Other,2070,1.147981,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Secondary electricity,Other,2080,1.320060,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Secondary electricity,Other,2090,1.368630,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Secondary electricity,Other,2100,1.410061,EJ/yr,WEU; CEU,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2020,7.559552,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2030,6.971029,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2040,4.683610,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2050,3.990786,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2060,3.939641,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2070,3.926307,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2080,3.872868,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2090,3.841602,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Passenger transport,2100,3.755175,EJ/yr,WEU; CEU,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2020,5.052950,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2030,5.215391,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2040,4.356234,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2050,3.679034,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2060,3.848762,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2070,3.970208,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2080,3.973478,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2090,3.954544,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Freight transport,2100,3.901290,EJ/yr,WEU; CEU,Final Energy|Transportation|Freight,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2020,1.069185,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2030,0.850630,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2040,0.682179,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2050,0.558120,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2060,0.447942,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2070,0.351377,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2080,0.300446,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2090,0.255433,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Iron & steel,2100,0.209773,EJ/yr,WEU; CEU,Final Energy|Industry|Iron and Steel,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2020,9.814929,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2030,6.458525,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2040,2.366703,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2050,1.681550,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2060,1.030864,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2070,0.883689,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2080,0.882513,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2090,0.929588,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,Europe (WEU + CEU),Final energy,Space heating,2100,0.893235,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating; Final Energy|Commercial|Space Heating,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2020,157.409297,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2030,161.610203,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2040,156.134203,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2050,43.064430,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2060,22.465600,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2070,12.922880,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2080,11.627360,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2090,10.155470,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Coal,2100,9.873677,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2020,173.106094,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2030,205.319203,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2040,182.482500,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2050,134.670500,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2060,76.924477,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2070,48.076109,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2080,39.552430,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2090,37.052699,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Oil,2100,34.532160,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2020,135.358797,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2030,132.623203,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2040,138.872000,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2050,110.633703,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2060,108.577398,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2070,101.592297,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2080,110.545398,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2090,104.122297,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Gas,2100,104.240703,EJ/yr,World,Primary Energy|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2020,54.897260,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2030,66.318172,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2040,65.606760,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2050,78.140981,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2060,123.824201,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2070,147.536107,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2080,154.839184,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2090,158.517449,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Biomass,2100,155.171943,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2020,9.635218,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2030,11.123350,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2040,9.042861,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2050,11.961200,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2060,14.444310,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2070,24.144500,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2080,37.355770,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2090,47.731320,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Nuclear,2100,58.352629,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2020,24.773921,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2030,53.788352,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2040,96.058292,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2050,203.254594,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2060,320.622458,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2070,400.105977,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2080,441.934852,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2090,515.142356,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Primary energy,Non-biomass renewables,2100,586.302063,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2020,34.086428,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2030,40.695419,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2040,43.425408,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2050,6.763187,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2060,2.363495,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2070,1.414609,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2080,1.668258,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2090,1.383121,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Coal,2100,1.464555,EJ/yr,World,Secondary Energy|Electricity|Coal,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2020,22.839445,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2030,23.875691,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2040,26.584093,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2050,14.912954,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2060,10.687187,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2070,9.473078,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2080,12.882688,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2090,13.826121,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Gas,2100,15.368080,EJ/yr,World,Secondary Energy|Electricity|Gas,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2020,2.405043,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2030,3.444662,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2040,1.245559,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2050,0.466509,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2060,0.134059,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2070,0.020828,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2080,0.031079,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2090,0.044273,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Oil,2100,0.087955,EJ/yr,World,Secondary Energy|Electricity|Oil,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2020,2.466505,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2030,2.950267,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2040,1.922837,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2050,5.278572,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2060,11.839366,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2070,17.418367,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2080,20.134980,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2090,20.977549,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Biomass,2100,19.731702,EJ/yr,World,Secondary Energy|Electricity|Biomass,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2020,9.635217,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2030,11.123350,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2040,9.042861,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2050,11.961200,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2060,14.444310,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2070,24.144501,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2080,37.355770,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2090,47.731311,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Nuclear,2100,58.352632,EJ/yr,World,Secondary Energy|Electricity|Nuclear,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Hydro,2020,15.647039,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Hydro,2030,21.220010,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Hydro,2040,24.985860,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,World,Secondary electricity,Hydro,2050,27.286499,EJ/yr,World,Secondary Energy|Electricity|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
