model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Primary energy,Biomass,2090,101.940289,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Biomass,2100,103.594562,EJ/yr,World,Primary Energy|Biomass,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2020,9.635218,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2030,10.800720,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2040,8.281055,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2050,5.005421,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2060,4.510146,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2070,6.976545,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2080,11.107880,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2090,16.489240,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Nuclear,2100,18.570590,EJ/yr,World,Primary Energy|Nuclear,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2020,24.773921,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2030,52.174436,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2040,107.429975,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2050,197.390555,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2060,281.625743,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Non-biomass renewables,2070,345.994557,EJ/yr,World,Primary Energy|Non-Biomass Renewables,IMAGE 3.4_SSP1_L.xlsx
