model,scenario,year,database_name,source_database,premise_version,case,technology,region,r10_mapping_status,activity_key,functional_unit,method_family,category,indicator,unit,calculation_timestamp,provenance_id,score
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '16bf3221c71041eb9f8c74b6f08d7064')",1 kWh low-voltage electricity,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328902080:soil quality index,1.315134327217959
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '16bf3221c71041eb9f8c74b6f08d7064')",1 kWh low-voltage electricity,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328902080:user deprivation potential (deprivation-weighted water consumption),0.14914072933991546
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', 'f1734791f7fc4ef293c1100b5b082326')",1 kg low-alloyed steel,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2040:338987850328920319:GWP 100a, incl. H and bio CO2",1.071651814574634
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', 'f1734791f7fc4ef293c1100b5b082326')",1 kg low-alloyed steel,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328920319:abiotic depletion potential (ADP): elements (ultimate reserves),7.025380511594269e-06
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', 'f1734791f7fc4ef293c1100b5b082326')",1 kg low-alloyed steel,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328920319:soil quality index,4.309528053150694
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', 'f1734791f7fc4ef293c1100b5b082326')",1 kg low-alloyed steel,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328920319:user deprivation potential (deprivation-weighted water consumption),0.41704499024468206
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '8d0eea37ca8c46b19ab212f06ce9543b')",1 vehicle-km passenger-car transport,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2040:338987850328931182:GWP 100a, incl. H and bio CO2",0.16313681869416613
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '8d0eea37ca8c46b19ab212f06ce9543b')",1 vehicle-km passenger-car transport,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328931182:abiotic depletion potential (ADP): elements (ultimate reserves),7.748290696431422e-06
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '8d0eea37ca8c46b19ab212f06ce9543b')",1 vehicle-km passenger-car transport,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328931182:soil quality index,2.5679377156653005
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '8d0eea37ca8c46b19ab212f06ce9543b')",1 vehicle-km passenger-car transport,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328931182:user deprivation potential (deprivation-weighted water consumption),0.06905399040524057
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '70566c7e450448648efda95ddc589c3e')",1 kg unspecified cement,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2040:338987850328899203:GWP 100a, incl. H and bio CO2",0.6816292800848278
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '70566c7e450448648efda95ddc589c3e')",1 kg unspecified cement,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328899203:abiotic depletion potential (ADP): elements (ultimate reserves),2.053793236802701e-06
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '70566c7e450448648efda95ddc589c3e')",1 kg unspecified cement,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328899203:soil quality index,0.67939782630535
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2040', '70566c7e450448648efda95ddc589c3e')",1 kg unspecified cement,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328899203:user deprivation potential (deprivation-weighted water consumption),0.06176883883740199
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '24bd728a40b941ccb90ac232737fec6e')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2040:338987850328930239:GWP 100a, incl. H and bio CO2",-0.7752182845202046
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '24bd728a40b941ccb90ac232737fec6e')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930239:abiotic depletion potential (ADP): elements (ultimate reserves),2.261359078052561e-06
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '24bd728a40b941ccb90ac232737fec6e')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930239:soil quality index,3.1597782020244183
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '24bd728a40b941ccb90ac232737fec6e')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930239:user deprivation potential (deprivation-weighted water consumption),0.24093691456546662
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '734c434e319746bb8d042199f32214bc')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2040:338987850328930023:GWP 100a, incl. H and bio CO2",-0.8294082971473739
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '734c434e319746bb8d042199f32214bc')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930023:abiotic depletion potential (ADP): elements (ultimate reserves),1.4054932358474656e-06
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '734c434e319746bb8d042199f32214bc')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930023:soil quality index,2.226152417449525
image,SSP2-M,2040,esd-ei312-cutoff-image-ssp2-m-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2040', '734c434e319746bb8d042199f32214bc')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2040:338987850328930023:user deprivation potential (deprivation-weighted water consumption),0.15814161742776972
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '0c84bacec92f492f81974b5261d3dfa2')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328952833:GWP 100a, incl. H and bio CO2",0.041574997870668214
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '0c84bacec92f492f81974b5261d3dfa2')",1 kWh low-voltage electricity,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328952833:abiotic depletion potential (ADP): elements (ultimate reserves),4.00449056440022e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '0c84bacec92f492f81974b5261d3dfa2')",1 kWh low-voltage electricity,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328952833:soil quality index,0.7449003210978371
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '0c84bacec92f492f81974b5261d3dfa2')",1 kWh low-voltage electricity,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328952833:user deprivation potential (deprivation-weighted water consumption),0.09612601506852127
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0b467d6100f545e69aa17abe1cc5a0a4')",1 kg low-alloyed steel,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328971072:GWP 100a, incl. H and bio CO2",0.8949677628234772
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0b467d6100f545e69aa17abe1cc5a0a4')",1 kg low-alloyed steel,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328971072:abiotic depletion potential (ADP): elements (ultimate reserves),6.397118525802759e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0b467d6100f545e69aa17abe1cc5a0a4')",1 kg low-alloyed steel,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328971072:soil quality index,3.5949708333031105
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0b467d6100f545e69aa17abe1cc5a0a4')",1 kg low-alloyed steel,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328971072:user deprivation potential (deprivation-weighted water consumption),0.3484163638178307
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', 'daf0d55adacb4138901c947bf693e1f6')",1 vehicle-km passenger-car transport,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328981938:GWP 100a, incl. H and bio CO2",0.121133304564888
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', 'daf0d55adacb4138901c947bf693e1f6')",1 vehicle-km passenger-car transport,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328981938:abiotic depletion potential (ADP): elements (ultimate reserves),8.347865214943083e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', 'daf0d55adacb4138901c947bf693e1f6')",1 vehicle-km passenger-car transport,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328981938:soil quality index,2.2167116000158913
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', 'daf0d55adacb4138901c947bf693e1f6')",1 vehicle-km passenger-car transport,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328981938:user deprivation potential (deprivation-weighted water consumption),0.05781265624459916
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '58b23b819993456693d4049a691484e6')",1 kg unspecified cement,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328949956:GWP 100a, incl. H and bio CO2",0.6863830617947604
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '58b23b819993456693d4049a691484e6')",1 kg unspecified cement,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328949956:abiotic depletion potential (ADP): elements (ultimate reserves),2.0992558399280707e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '58b23b819993456693d4049a691484e6')",1 kg unspecified cement,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328949956:soil quality index,0.6535951229782146
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp2-m-2060', '58b23b819993456693d4049a691484e6')",1 kg unspecified cement,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328949956:user deprivation potential (deprivation-weighted water consumption),0.05340441303762727
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '1e0296f9c0344f1e973587e2fe3b1683')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328980995:GWP 100a, incl. H and bio CO2",-0.8568142181044572
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '1e0296f9c0344f1e973587e2fe3b1683')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980995:abiotic depletion potential (ADP): elements (ultimate reserves),2.293406127990449e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '1e0296f9c0344f1e973587e2fe3b1683')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980995:soil quality index,3.32812601122987
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '1e0296f9c0344f1e973587e2fe3b1683')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980995:user deprivation potential (deprivation-weighted water consumption),0.16404943874395767
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0aa0a364da5f48a4bd9dd270d04dc2f4')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp2-m-2060:338987850328980779:GWP 100a, incl. H and bio CO2",-0.894141210895415
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0aa0a364da5f48a4bd9dd270d04dc2f4')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980779:abiotic depletion potential (ADP): elements (ultimate reserves),1.4427342736165497e-06
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0aa0a364da5f48a4bd9dd270d04dc2f4')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980779:soil quality index,2.4704317540795673
image,SSP2-M,2060,esd-ei312-cutoff-image-ssp2-m-2060,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp2-m-2060', '0aa0a364da5f48a4bd9dd270d04dc2f4')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp2-m-2060:338987850328980779:user deprivation potential (deprivation-weighted water consumption),0.10753856811453891
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp3-h-2040', 'fa58d581bbae4b4e9159ddf2e78cc3f9')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp3-h-2040:338987850329003589:GWP 100a, incl. H and bio CO2",0.1799933724000699
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp3-h-2040', 'fa58d581bbae4b4e9159ddf2e78cc3f9')",1 kWh low-voltage electricity,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp3-h-2040:338987850329003589:abiotic depletion potential (ADP): elements (ultimate reserves),3.2944800385838994e-06
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp3-h-2040', 'fa58d581bbae4b4e9159ddf2e78cc3f9')",1 kWh low-voltage electricity,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp3-h-2040:338987850329003589:soil quality index,1.6741700147230056
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp3-h-2040', 'fa58d581bbae4b4e9159ddf2e78cc3f9')",1 kWh low-voltage electricity,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp3-h-2040:338987850329003589:user deprivation potential (deprivation-weighted water consumption),0.17479418690732915
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp3-h-2040', '01d1755969914f6fa23fbc18ed3a00f1')",1 kg low-alloyed steel,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp3-h-2040:338987850329021828:GWP 100a, incl. H and bio CO2",1.3866347897943279
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp3-h-2040', '01d1755969914f6fa23fbc18ed3a00f1')",1 kg low-alloyed steel,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp3-h-2040:338987850329021828:abiotic depletion potential (ADP): elements (ultimate reserves),7.635195786558672e-06
image,SSP3-H,2040,esd-ei312-cutoff-image-ssp3-h-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp3-h-2040', '01d1755969914f6fa23fbc18ed3a00f1')",1 kg low-alloyed steel,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp3-h-2040:338987850329021828:soil quality index,4.984399542828533
