model,model_version,scenario,region,year,stage,group,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Primary input to electricity,Nuclear + hydro,1.371191,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Primary input to electricity,Nuclear + hydro,2.575991,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Primary input to electricity,Nuclear + hydro,3.410920,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Primary input to electricity,Nuclear + hydro,2.522784,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Primary input to electricity,Nuclear + hydro,2.787470,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Primary input to electricity,Nuclear + hydro,2.356865,EJ/yr,WEU; CEU,Primary Energy|Nuclear; Primary Energy|Hydro,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Primary input to electricity,Wind + solar,2.326647,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Primary input to electricity,Wind + solar,5.117978,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Primary input to electricity,Wind + solar,12.993759,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Primary input to electricity,Wind + solar,18.941553,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Primary input to electricity,Wind + solar,17.660946,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Primary input to electricity,Wind + solar,18.466628,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Primary input to electricity,Wind + solar,22.234009,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Primary input to electricity,Wind + solar,22.250669,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Primary input to electricity,Wind + solar,23.919467,EJ/yr,WEU; CEU,Primary Energy|Wind; Primary Energy|Solar,IMAGE 3.4_SSP2_VLHO.xlsx
