case,pathway,commissioning_year,impact_year,method,indicator,score,unit,forest_case,counterfactual,chp_treatment,provenance_id
BECCS,SSP2-NPi,2030,2042,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",5.008029937744141,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2043,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",4.487234115600586,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2044,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",4.466533660888672,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2045,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",3.834643602371216,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2046,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",3.817732334136963,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2047,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",3.056209087371826,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2048,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",3.03951358795166,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2049,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",2.12125301361084,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2050,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-6.137124538421631,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2051,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-5.208106994628906,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2052,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-5.207653045654297,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2053,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-6.325723171234131,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2054,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-6.325252532958984,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2055,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-7.634881496429443,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2056,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-7.634464263916016,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2057,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-9.147208213806152,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2058,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-9.14677906036377,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2059,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-10.865172386169434,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2060,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-10.86473274230957,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2061,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-12.779096603393555,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2062,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-12.779104232788086,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2063,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-14.862449645996094,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2064,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-14.862454414367676,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2065,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-17.069053649902344,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2066,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-17.069055557250977,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2067,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-19.33310890197754,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2068,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-19.333112716674805,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2069,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-21.570491790771484,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2070,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-21.570486068725586,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2071,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-23.683624267578125,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2072,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-23.683706283569336,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2073,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-25.568758010864258,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2074,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-25.56884002685547,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2075,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-27.12517738342285,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2076,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-27.125261306762695,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2077,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-28.264896392822266,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
BECCS,SSP2-NPi,2030,2078,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-28.26498031616211,kg CO2-Eq,existing mature forest remains standing at constant carbon stock,no new CHP; shared forest history cancels; Northern European electricity and heat markets provide the project's exported energy services,new CHP+CCS vs standing forest and Northern European energy,037b6e495636848065e2
