case,system,model,pathway,region,commissioning_year,operation_start_year,operation_end_year,operation_year,period,plant_lifetime_years,annual_gross_captured_tonnes,annual_net_stored_tonnes,denominator_net_stored_tonnes,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,method,indicator,unit,capacity_basis,package_sha256,foreground_sha256,calculation_timestamp,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2040,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7262005.918662443,-972.1919015512027,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,dac03a07e872097a9952
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2041,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7266116.777565302,-972.7422376124154,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,6eeed367cddb2bd5ac01
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2042,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7270121.653246416,-973.2783853032197,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,fc5577405e4538c0a5d7
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2043,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7274017.935451514,-973.7999951791109,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,5b3263f7a1d7b1ac2023
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2044,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7277803.0396471415,-974.3067212389258,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,2827bf122d4af03e3617
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2045,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7281474.343909625,-974.7982124759329,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,82ecb3386b91ddc75514
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2046,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7283868.273919957,-975.1186968427859,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,a66e548e99fe20f3fb80
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2047,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7286211.120744452,-975.4323425124343,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,8a53c501d9d7a9a6a65e
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2048,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7288501.225953412,-975.7389274646896,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,8fbc7b2e61b518a804c2
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2049,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7290736.995646468,-976.0382383181463,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,3cfe13cb0c74744ead7b
