provenance_id,contributor,contributor_type,score,unit,rank
ee0f432f70d854d07c71,Other,activity,43.84077951919874,kg CO2-Eq,13
ee0f432f70d854d07c71,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1039.5248943253714,kg CO2-Eq,1
ee0f432f70d854d07c71,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,21.501023427901302,kg CO2-Eq,2
ee0f432f70d854d07c71,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,21.287069717876893,kg CO2-Eq,3
ee0f432f70d854d07c71,"Carbon dioxide, fossil | air | unspecified",biosphere flow,16.183329883680603,kg CO2-Eq,4
ee0f432f70d854d07c71,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,7.93986325878691,kg CO2-Eq,5
ee0f432f70d854d07c71,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,6.832967870943426,kg CO2-Eq,6
ee0f432f70d854d07c71,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,3.4652673096675937,kg CO2-Eq,7
ee0f432f70d854d07c71,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,-3.145392223774953,kg CO2-Eq,8
ee0f432f70d854d07c71,Dinitrogen monoxide | air | unspecified,biosphere flow,1.8855408271111587,kg CO2-Eq,9
ee0f432f70d854d07c71,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,-1.0539933902508456,kg CO2-Eq,10
ee0f432f70d854d07c71,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,0.8250509458012028,kg CO2-Eq,11
ee0f432f70d854d07c71,"Methane, non-fossil | air | urban air close to ground",biosphere flow,0.38091409136545873,kg CO2-Eq,12
ee0f432f70d854d07c71,Other,biosphere flow,0.3566098252244526,kg CO2-Eq,13
efdf78b91f27f08027dc,"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity | carbon dioxide, captured | ENC",activity,-1028.8065671920776,kg CO2-Eq,1
efdf78b91f27f08027dc,supply of forest residue | forest residue | ENC,activity,-233.87672606791944,kg CO2-Eq,2
efdf78b91f27f08027dc,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,112.8508906146466,kg CO2-Eq,3
efdf78b91f27f08027dc,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,89.30694126921233,kg CO2-Eq,4
efdf78b91f27f08027dc,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,82.98824527588361,kg CO2-Eq,5
efdf78b91f27f08027dc,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,6
efdf78b91f27f08027dc,treatment of sewage sludge by anaerobic digestion | biogas | RoW,activity,-9.465210635402011,kg CO2-Eq,7
efdf78b91f27f08027dc,"plywood production | wood chips, dry, measured as dry mass | ENC",activity,-6.151926461723942,kg CO2-Eq,8
efdf78b91f27f08027dc,"three and five layered board production | wood chips, dry, measured as dry mass | ENC",activity,-4.703015612367461,kg CO2-Eq,9
efdf78b91f27f08027dc,"electricity production, natural gas, subcritical, steam cycle | electricity, high voltage | ENC",activity,4.283699472795665,kg CO2-Eq,10
efdf78b91f27f08027dc,"electricity production, at biomass-fired IGCC power plant | electricity, high voltage | ENC",activity,4.246854448560502,kg CO2-Eq,11
efdf78b91f27f08027dc,"treatment of spent anion exchange resin from potable water production, municipal incineration | spent anion exchange resin from potable water production | GLO",activity,4.039924120136435,kg CO2-Eq,12
efdf78b91f27f08027dc,Other,activity,75.67666253280608,kg CO2-Eq,13
efdf78b91f27f08027dc,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1318.8663709235718,kg CO2-Eq,1
efdf78b91f27f08027dc,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,288.49685274542975,kg CO2-Eq,2
efdf78b91f27f08027dc,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,79.07736230298696,kg CO2-Eq,3
efdf78b91f27f08027dc,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,24.957100292389647,kg CO2-Eq,4
efdf78b91f27f08027dc,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,24.73122706631455,kg CO2-Eq,5
efdf78b91f27f08027dc,"Carbon dioxide, fossil | air | unspecified",biosphere flow,22.923325541270366,kg CO2-Eq,6
efdf78b91f27f08027dc,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,-17.89894174641654,kg CO2-Eq,7
efdf78b91f27f08027dc,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,5.708521720297789,kg CO2-Eq,8
efdf78b91f27f08027dc,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,3.6141122585513727,kg CO2-Eq,9
efdf78b91f27f08027dc,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,2.424138236200396,kg CO2-Eq,10
efdf78b91f27f08027dc,Sulfur hexafluoride | air | non-urban air or from high stacks,biosphere flow,1.7483530011837383,kg CO2-Eq,11
efdf78b91f27f08027dc,"Methane, non-fossil | air | non-urban air or from high stacks",biosphere flow,0.668990328811278,kg CO2-Eq,12
efdf78b91f27f08027dc,Other,biosphere flow,1.6116857116421837,kg CO2-Eq,13
ae6e28ac79e4a08cd64c,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | forest carbon regrowth service per kilogram wood harvested | SE",activity,-1143.1183516397093,kg CO2-Eq,1
ae6e28ac79e4a08cd64c,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | gross biogenic carbon entering post-combustion capture | ENC",activity,122.21438487391455,kg CO2-Eq,2
ae6e28ac79e4a08cd64c,supply of forest residue | forest residue | ENC,activity,79.79988676758838,kg CO2-Eq,3
ae6e28ac79e4a08cd64c,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,-38.69126923398524,kg CO2-Eq,4
ae6e28ac79e4a08cd64c,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,-30.61915264102341,kg CO2-Eq,5
ae6e28ac79e4a08cd64c,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,6
ae6e28ac79e4a08cd64c,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,-28.452770941698535,kg CO2-Eq,7
ae6e28ac79e4a08cd64c,"wood chipping, mobile chipper, at forest road | wood chipping, chipper, mobile, diesel, at forest road | FI",activity,8.69738019381239,kg CO2-Eq,8
ae6e28ac79e4a08cd64c,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant | hydrogen, gaseous, 25 bar | ENC",activity,7.0019403381851095,kg CO2-Eq,9
ae6e28ac79e4a08cd64c,"harvesting, forestry harvester | harvesting, forestry harvester | FI",activity,6.072673783332182,kg CO2-Eq,10
ae6e28ac79e4a08cd64c,treatment of sewage sludge by anaerobic digestion | biogas | RoW,activity,5.576539002086283,kg CO2-Eq,11
ae6e28ac79e4a08cd64c,"heat production, softwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | ENC",activity,-4.7420202499632405,kg CO2-Eq,12
ae6e28ac79e4a08cd64c,Other,activity,22.422301493858853,kg CO2-Eq,13
ae6e28ac79e4a08cd64c,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1047.2562034789348,kg CO2-Eq,1
ae6e28ac79e4a08cd64c,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,23.671462176469102,kg CO2-Eq,2
ae6e28ac79e4a08cd64c,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,20.06837988526993,kg CO2-Eq,3
ae6e28ac79e4a08cd64c,"Carbon dioxide, fossil | air | unspecified",biosphere flow,15.563758559369631,kg CO2-Eq,4
ae6e28ac79e4a08cd64c,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,6.841694807195118,kg CO2-Eq,5
ae6e28ac79e4a08cd64c,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,6.346405839876311,kg CO2-Eq,6
ae6e28ac79e4a08cd64c,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,4.245456233753421,kg CO2-Eq,7
ae6e28ac79e4a08cd64c,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,3.3163612546523034,kg CO2-Eq,8
ae6e28ac79e4a08cd64c,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,1.322268539507664,kg CO2-Eq,9
ae6e28ac79e4a08cd64c,Dinitrogen monoxide | air | unspecified,biosphere flow,1.136837264986667,kg CO2-Eq,10
ae6e28ac79e4a08cd64c,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,-0.9846003322559461,kg CO2-Eq,11
ae6e28ac79e4a08cd64c,"Methane, non-fossil | air | urban air close to ground",biosphere flow,0.38305518989084186,kg CO2-Eq,12
ae6e28ac79e4a08cd64c,Other,biosphere flow,0.31325057716831395,kg CO2-Eq,13
4331603c2cfdd29aaeb3,"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity | carbon dioxide, captured | ENC",activity,-1028.8065671920776,kg CO2-Eq,1
4331603c2cfdd29aaeb3,supply of forest residue | forest residue | ENC,activity,-83.62738973909858,kg CO2-Eq,2
4331603c2cfdd29aaeb3,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,41.05696211877993,kg CO2-Eq,3
4331603c2cfdd29aaeb3,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,32.49130469179037,kg CO2-Eq,4
4331603c2cfdd29aaeb3,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,30.192455214403182,kg CO2-Eq,5
4331603c2cfdd29aaeb3,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,6
4331603c2cfdd29aaeb3,treatment of sewage sludge by anaerobic digestion | biogas | RoW,activity,-4.952938013461272,kg CO2-Eq,7
4331603c2cfdd29aaeb3,"treatment of spent anion exchange resin from potable water production, municipal incineration | spent anion exchange resin from potable water production | GLO",activity,4.039670966169655,kg CO2-Eq,8
4331603c2cfdd29aaeb3,"natural gas venting from petroleum/natural gas production | natural gas, vented | GLO",activity,3.4927097761385677,kg CO2-Eq,9
4331603c2cfdd29aaeb3,"treatment of spent solvent mixture, hazardous waste incineration | spent solvent mixture | RoW",activity,2.9043151873035633,kg CO2-Eq,10
4331603c2cfdd29aaeb3,"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | SE",activity,2.4832404592581026,kg CO2-Eq,11
4331603c2cfdd29aaeb3,"plywood production | wood chips, dry, measured as dry mass | ENC",activity,-2.399831464062897,kg CO2-Eq,12
4331603c2cfdd29aaeb3,Other,activity,58.05880804118623,kg CO2-Eq,13
4331603c2cfdd29aaeb3,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1139.9969097772082,kg CO2-Eq,1
4331603c2cfdd29aaeb3,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,107.50469986707861,kg CO2-Eq,2
4331603c2cfdd29aaeb3,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,49.549384066500245,kg CO2-Eq,3
4331603c2cfdd29aaeb3,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,24.00489958122338,kg CO2-Eq,4
4331603c2cfdd29aaeb3,"Carbon dioxide, fossil | air | unspecified",biosphere flow,22.86385474187587,kg CO2-Eq,5
4331603c2cfdd29aaeb3,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,14.13104310646014,kg CO2-Eq,6
4331603c2cfdd29aaeb3,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,-7.3510992226083784,kg CO2-Eq,7
4331603c2cfdd29aaeb3,"Methane, fossil | air | non-urban air or from high stacks",biosphere flow,4.889007928556194,kg CO2-Eq,8
4331603c2cfdd29aaeb3,"Carbon dioxide, from soil or biomass stock | air | non-urban air or from high stacks",biosphere flow,2.9036858108315586,kg CO2-Eq,9
4331603c2cfdd29aaeb3,Sulfur hexafluoride | air | non-urban air or from high stacks,biosphere flow,1.7840332846024418,kg CO2-Eq,10
4331603c2cfdd29aaeb3,Dinitrogen monoxide | air | urban air close to ground,biosphere flow,1.2354415901646059,kg CO2-Eq,11
4331603c2cfdd29aaeb3,"Methane, non-fossil | air | non-urban air or from high stacks",biosphere flow,0.552295518480933,kg CO2-Eq,12
4331603c2cfdd29aaeb3,Other,biosphere flow,1.6689883209162002,kg CO2-Eq,13
37335584a26e16fb1066,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | forest carbon regrowth service per kilogram wood harvested | SE",activity,-1143.1183516397093,kg CO2-Eq,1
37335584a26e16fb1066,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | gross biogenic carbon entering post-combustion capture | ENC",activity,122.21438487391455,kg CO2-Eq,2
