case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,location,OAS,11220.858044745464,1.5021782468564076,7469.724760178917,8,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,location,Other locations,118233.53503260051,15.828365679938193,7469.724760178917,9,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Forest regrowth,-8538779.819222614,-1143.1184003917824,7469.724760178917,1,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Harvesting and biomass supply,180831.45840711714,24.208583878636222,7469.724760178917,2,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Residual biogenic stack emissions,853878.0018494421,114.31184270690449,7469.724760178917,3,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,New CHP infrastructure and end-of-life,20996.402244439778,2.8108669219475857,7469.724760178917,4,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Other CHP operating emissions,71077.88435862117,9.515462301574644,7469.724760178917,5,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Avoided Northern European electricity,-182464.2885079222,-24.42717695311062,7469.724760178917,6,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Avoided Northern European heat,-70911.34809838976,-9.493167469358172,7469.724760178917,7,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Capture electricity,0.0,0.0,7469.724760178917,8,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Compression and recompression,47591.52676958738,6.371255742018459,7469.724760178917,9,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Pipeline and geological storage,166257.02965299046,22.257450574257604,7469.724760178917,10,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,process,Transport losses,215177.25646605933,28.80658436213992,7469.724760178917,11,kg CO2-Eq,9442100c7f96bb12c288
